filename,total_pages,metadata_format
vol00008-2-efta00009676.pdf,37,PDF 1.5
vol00008-2-efta00009713.pdf,34,PDF 1.5
vol00008-2-efta00009747.pdf,20,PDF 1.5
vol00008-2-efta00009767.pdf,8,PDF 1.5
vol00008-2-efta00009775.pdf,6,PDF 1.5
vol00008-2-efta00009781.pdf,5,PDF 1.5
vol00008-2-efta00009786.pdf,5,PDF 1.5
vol00008-2-efta00009791.pdf,3,PDF 1.5
vol00008-2-efta00009794.pdf,2,PDF 1.5
vol00008-2-efta00009796.pdf,2,PDF 1.5
vol00008-2-efta00009798.pdf,2,PDF 1.5
vol00008-2-efta00009800.pdf,2,PDF 1.5
vol00008-2-efta00009802.pdf,5,PDF 1.5
vol00008-2-efta00009807.pdf,1,PDF 1.5
vol00008-2-efta00009808.pdf,1,PDF 1.5
vol00008-2-efta00009809.pdf,14,PDF 1.5
vol00008-2-efta00009823.pdf,2,PDF 1.5
vol00008-2-efta00009825.pdf,1,PDF 1.5
vol00008-2-efta00009826.pdf,1,PDF 1.5
vol00008-2-efta00009827.pdf,2,PDF 1.5
vol00008-2-efta00009829.pdf,2,PDF 1.5
vol00008-2-efta00009831.pdf,1,PDF 1.5
vol00008-2-efta00009832.pdf,2,PDF 1.5
vol00008-2-efta00009834.pdf,19,PDF 1.5
vol00008-2-efta00009853.pdf,1,PDF 1.5
vol00008-2-efta00009854.pdf,2,PDF 1.5
vol00008-2-efta00009856.pdf,2,PDF 1.5
vol00008-2-efta00009858.pdf,1,PDF 1.5
vol00008-2-efta00009859.pdf,1,PDF 1.5
vol00008-2-efta00009860.pdf,3,PDF 1.5
vol00008-2-efta00009863.pdf,1,PDF 1.5
vol00008-2-efta00009864.pdf,1,PDF 1.5
vol00008-2-efta00009865.pdf,3,PDF 1.5
vol00008-2-efta00009868.pdf,1,PDF 1.5
vol00008-2-efta00009869.pdf,1,PDF 1.5
vol00008-2-efta00009870.pdf,3,PDF 1.5
vol00008-2-efta00009873.pdf,4,PDF 1.5
vol00008-2-efta00009877.pdf,2,PDF 1.5
vol00008-2-efta00009879.pdf,2,PDF 1.5
vol00008-2-efta00009881.pdf,1,PDF 1.5
vol00008-2-efta00009882.pdf,1,PDF 1.5
vol00008-2-efta00009883.pdf,1,PDF 1.5
vol00008-2-efta00009884.pdf,1,PDF 1.5
vol00008-2-efta00009885.pdf,1,PDF 1.5
vol00008-2-efta00009886.pdf,1,PDF 1.5
vol00008-2-efta00009887.pdf,1,PDF 1.5
vol00008-2-efta00009888.pdf,1,PDF 1.5
vol00008-2-efta00009889.pdf,1,PDF 1.5
vol00008-2-efta00009890.pdf,5,PDF 1.5
vol00008-2-efta00009895.pdf,1,PDF 1.5
vol00008-2-efta00009896.pdf,1,PDF 1.5
vol00008-2-efta00009897.pdf,2,PDF 1.5
vol00008-2-efta00009899.pdf,1,PDF 1.5
vol00008-2-efta00009900.pdf,1,PDF 1.5
vol00008-2-efta00009901.pdf,3,PDF 1.5
vol00008-2-efta00009904.pdf,10,PDF 1.5
