filename,total_pages,overlay_risk,flagged_pages,has_metadata,metadata_keys,has_attachments,attachment_count,has_annotations,annotation_count,has_forms,form_field_count,has_layers,layer_count,has_javascript,has_actions,has_thumbnails,incremental_updates,security_notes,error
"Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)____001.pdf",16,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)____002.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)____003.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)____004.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)____005.pdf",1,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)____006.pdf",5,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)____007.pdf",1,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)____008.pdf",1,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)____009.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,YES,pikepdf not available - some checks skipped,
"Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)____010.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)____011.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,YES,pikepdf not available - some checks skipped,
"Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)____012.pdf",4,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)____013.pdf",4,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Bryant v. Indyke, No. 119-cv-10479 (S.D.N.Y. 2019)____014.pdf",5,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
